ALTERDATA;NORMALIZADO;ITEM;PCG;QUANTIDADE
COORDENADOR(A) DE FOLLOW UP;COORDENADOR DE FOLLOW UP;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DE FROTA;COORDENADOR DE FROTA;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DE GESTAO DE CUSTOS;COORDENADOR DE GESTÃO DE CUSTOS;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) DE GESTAO INTEGRADA;COORDENADOR DE GESTÃO INTEGRADA;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) DE HOTELARIA;COORDENADOR DE HOTELARIA;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DE INSTALAÇÕES;COORDENADOR DE INSTALAÇÕES;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) DE MANUTENÇÃO;COORDENADOR DE MANUTENÇÃO;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DE MARCAÇAO;COORDENADOR DE MARCAÇÃO;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DE NUTRICAO;COORDENADOR DE NUTRIÇÃO;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DE NUTRICAO CLINICA;COORDENADOR DE NUTRIÇÃO CLÍNICA;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DE PRESTACAO DE CONTAS;COORDENADOR DE PRESTAÇÃO DE CONTAS;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) DE PROCESSOS CLINICOS;COORDENADOR DE PROCESSOS CLÍNICOS;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) DE PROCESSOS DE ASSISTENCIA A SAUDE;COORDENADOR DE PROCESSOS DE ASSISTÊNCIA À SAÚDE;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) DE PRODUÇÃO DE HEMOCOMPONENTES;COORDENADOR DE PRODUÇÃO DE HEMOCOMPONENTES;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DE PROJETOS;COORDENADOR DE PROJETOS;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) DE PSICOLOGIA;COORDENADOR DE PSICOLOGIA;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) DE REABILITAÇÃO;COORDENADOR DE REABILITAÇÃO;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) DE RECRUTAMENTO E SELECAO;COORDENADOR DE RECRUTAMENTO E SELEÇÃO;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) DE RECURSOS HUMANOS;COORDENADOR DE RECURSOS HUMANOS;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DE REGULAÇAO MACRO SUL;COORDENADOR DE REGULAÇÃO MACRO SUL;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) DE RELAÇÕES TRABALHISTAS;COORDENADOR DE RELAÇÕES TRABALHISTAS;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) DE SEGURANÇA DA REGIONAL NORTE;COORDENADOR DE SEGURANÇA DA REGIONAL NORTE;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) DE SEGURANÇA DA REGIONAL SUL;COORDENADOR DE SEGURANÇA DA REGIONAL SUL;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) DE SERVICO SOCIAL;COORDENADOR DE SERVIÇO SOCIAL;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DE SERVIÇOS ASSISTENCIAIS;COORDENADOR DE SERVIÇOS ASSISTENCIAIS;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DE SERVIÇOS HOSPITALARES;COORDENADOR DE SERVIÇOS HOSPITALARES;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) DE SISTEMAS;COORDENADOR DE SISTEMAS;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DE TECNOLOGIA DA INFORMAÇÃO;COORDENADOR DE TECNOLOGIA DA INFORMAÇÃO;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DE TERAPIA OCUPACIONAL;COORDENADOR DE TERAPIA OCUPACIONAL;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DE TERCEIROS;COORDENADOR DE TERCEIROS;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) DE UNID. DE ALIMENTACAO E NUTRICAO;COORDENADOR DE UNID. DE ALIMENTAÇÃO E NUTRIÇÃO;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DO BANCO DE LEITE;COORDENADOR DO BANCO DE LEITE;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DO DEP. DE BIOLOGIA MOLECULAR;COORDENADOR DO DEP. DE BIOLOGIA MOLECULAR;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DO NGR;COORDENADOR DO NGR;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) DO NÚCLEO DE GESTÃO DA QUALIDADE;COORDENADOR DO NÚCLEO DE GESTÃO DA QUALIDADE;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) DO SERVIÇO DE VERIFICAÇÃO DE ÓBITO;COORDENADOR DO SERVIÇO DE VERIFICAÇÃO DE ÓBITO;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DO SESMT;COORDENADOR DO SESMT;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) ENFERMAGEM CEM;COORDENADOR ENFERMAGEM CEM;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) ENFERMAGEM CME;COORDENADOR ENFERMAGEM CME;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) MACRORREGIONAL DE SAUDE;COORDENADOR MACRORREGIONAL DE SAÚDE;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) MACRORREGIONAL DE SAUDE GRANDE ILHA;COORDENADOR MACRORREGIONAL DE SAÚDE GRANDE ILHA;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) MÉDICO;COORDENADOR MÉDICO;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) MULTIDISCIPLINAR;COORDENADOR MULTIDISCIPLINAR;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) MULTIPROFISSIONAL;COORDENADOR MULTIPROFISSIONAL;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) NUCLEO JURIDICO ADMINISTRATIVO;COORDENADOR NÚCLEO JURÍDICO ADMINISTRATIVO;SEM EPI;SEM MAPEAMENTO NO PCG;0
COPEIRO(A);COPEIRO;Máscara N95;PCG UNIVERSAL;1
COZINHEIRO;COZINHEIRO;Máscara N95;PCG UNIVERSAL;1
DESENVOLVEDOR DE SISTEMAS;DESENVOLVEDOR DE SISTEMAS;SEM EPI;SEM MAPEAMENTO NO PCG;0
DESENVOLVEDOR DE SISTEMAS BACK- END JUNIOR;DESENVOLVEDOR DE SISTEMAS BACK-END JUNIOR;SEM EPI;SEM MAPEAMENTO NO PCG;0
DESENVOLVEDOR DE SISTEMAS FRONT- END JUNIOR;DESENVOLVEDOR DE SISTEMAS FRONT-END JUNIOR;SEM EPI;SEM MAPEAMENTO NO PCG;0
DESIGN DE UX/UI;DESIGN DE UX/UI;SEM EPI;SEM MAPEAMENTO NO PCG;0
DIRETOR (A) GERAL;DIRETOR GERAL;Máscara N95;PCG UNIVERSAL;1
DIRETOR DA BIOLOGIA MEDICA;DIRETOR DA BIOLOGIA MÉDICA;Máscara N95;PCG UNIVERSAL;1
DIRETOR EXECUTIVO DE PLANEJ, GOVERNANÇA E INOVAÇÃO;DIRETOR EXECUTIVO DE PLANEJAMENTO, GOVERNANÇA E INOVAÇÃO;Máscara N95;PCG UNIVERSAL;1
DIRETOR(A) ADMINISTRATIVO;DIRETOR ADMINISTRATIVO;Máscara N95;PCG UNIVERSAL;1
DIRETOR(A) DE PLANEJAMENTO E GOVERNANÇA;DIRETOR DE PLANEJAMENTO E GOVERNANÇA;Máscara N95;PCG UNIVERSAL;1
DIRETOR(A) DO SETOR DE ENGENHARIA;DIRETOR DO SETOR DE ENGENHARIA;SEM EPI;SEM MAPEAMENTO NO PCG;0
DIRETOR(A) EXECUTIVO (A) DE GESTAO DE PESSOAS;DIRETOR EXECUTIVO DE GESTÃO DE PESSOAS;SEM EPI;SEM MAPEAMENTO NO PCG;0
DIRETOR(A) EXECUTIVO CLINICO;DIRETOR EXECUTIVO CLÍNICO;SEM EPI;SEM MAPEAMENTO NO PCG;0
DIRETOR(A) EXECUTIVO DE SSMA;DIRETOR EXECUTIVO DE SSMA;SEM EPI;SEM MAPEAMENTO NO PCG;0
DIRETOR(A) FINANCEIRO;DIRETOR FINANCEIRO;SEM EPI;SEM MAPEAMENTO NO PCG;0
DIRETOR(A) TÉCNICO(A);DIRETOR TÉCNICO;Máscara N95;PCG UNIVERSAL;1
DIRETOR(A) TECNICO(A) DA AGÊNCIA TRANSFUSIONAL;DIRETOR TÉCNICO DA AGÊNCIA TRANSFUSIONAL;Máscara N95;PCG UNIVERSAL;1
EDUCADOR FISICO;EDUCADOR FÍSICO;Máscara N95;PCG UNIVERSAL;1
ENCARREGADO (A) DE FATURAMENTO;ENCARREGADO DE FATURAMENTO;Máscara N95;PCG UNIVERSAL;1
ENCARREGADO DE COMPRAS E ALMOXARIFADO;ENCARREGADO DE COMPRAS E ALMOXARIFADO;Máscara N95;PCG UNIVERSAL;1
ENCARREGADO DE HOTELARIA;ENCARREGADO DE HOTELARIA;Máscara N95;PCG UNIVERSAL;1
ENCARREGADO DE INFORMATICA;ENCARREGADO DE INFORMÁTICA;Máscara N95;PCG UNIVERSAL;1
ENCARREGADO DE MANUTENÇÃO PREDIAL;ENCARREGADO DE MANUTENÇÃO PREDIAL;Máscara N95;PCG UNIVERSAL;1
ENCARREGADO DE MANUTENÇÃO PREDIAL;ENCARREGADO DE MANUTENÇÃO PREDIAL;Luva de Látex;HOSPITAL MATERNO INFANTIL DE IMPERATRIZ;1
ENCARREGADO DE MANUTENÇÃO PREDIAL;ENCARREGADO DE MANUTENÇÃO PREDIAL;Óculos de proteção;HOSPITAL MATERNO INFANTIL DE IMPERATRIZ;1
ENCARREGADO DE MANUTENÇÃO PREDIAL;ENCARREGADO DE MANUTENÇÃO PREDIAL;Avental de PVC;HOSPITAL MATERNO INFANTIL DE IMPERATRIZ;1
ENCARREGADO DE MANUTENÇÃO PREDIAL;ENCARREGADO DE MANUTENÇÃO PREDIAL;Bota de PVC;HOSPITAL MATERNO INFANTIL DE IMPERATRIZ;1
ENCARREGADO DE OFICINA;ENCARREGADO DE OFICINA;Máscara N95;PCG UNIVERSAL;1
ENCARREGADO DE PORTARIA;ENCARREGADO DE PORTARIA;Máscara N95;PCG UNIVERSAL;1
ENCARREGADO DE RECEPCAO;ENCARREGADO DE RECEPÇÃO;Máscara N95;PCG UNIVERSAL;1
ENCARREGADO DE RECURSOS HUMANOS;ENCARREGADO DE RECURSOS HUMANOS;Máscara N95;PCG UNIVERSAL;1
ENCARREGADO DE ROUPARIA;ENCARREGADO DE ROUPARIA;Máscara N95;PCG UNIVERSAL;1
ENCARREGADO DE SEGURANCA DO TRABALHO;ENCARREGADO DE SEGURANÇA DO TRABALHO;Máscara N95;PCG UNIVERSAL;1
ENCARREGADO DE SERVICOS GERAIS;ENCARREGADO DE SERVIÇOS GERAIS;Máscara N95;PCG UNIVERSAL;1
ENCARREGADO DE TRANSPORTE;ENCARREGADO DE TRANSPORTE;Máscara N95;PCG UNIVERSAL;1
ENCARREGADO(A) ADMINISTRATIVO;ENCARREGADO ADMINISTRATIVO;Máscara N95;PCG UNIVERSAL;1
ENCARREGADO(A) DE AGENDAMENTO;ENCARREGADO DE AGENDAMENTO;SEM EPI;SEM MAPEAMENTO NO PCG;0
ENCARREGADO(A) DE ALMOXARIFADO;ENCARREGADO DE ALMOXARIFADO;Máscara N95;PCG UNIVERSAL;1
ENCARREGADO(A) DE ARMAZENAMENTO;ENCARREGADO DE ARMAZENAMENTO;SEM EPI;SEM MAPEAMENTO NO PCG;0
ENCARREGADO(A) DE ARQUIVO;ENCARREGADO DE ARQUIVO;Máscara N95;PCG UNIVERSAL;1
ENCARREGADO(A) DE ATENDIMENTO;ENCARREGADO DE ATENDIMENTO;Máscara N95;PCG UNIVERSAL;1
ENCARREGADO(A) DE FARMACIA;ENCARREGADO DE FARMÁCIA;Máscara N95;PCG UNIVERSAL;1
ENCARREGADO(A) DE MAQUEIRO;ENCARREGADO DE MAQUEIRO;Máscara N95;PCG UNIVERSAL;1
ENCARREGADO(A) DE SISTEMAS;ENCARREGADO DE SISTEMAS;Máscara N95;PCG UNIVERSAL;1
ENCARREGADO(A) DE TECNOLOGIA DA INFORMACAO;ENCARREGADO DE TECNOLOGIA DA INFORMAÇÃO;SEM EPI;SEM MAPEAMENTO NO PCG;0
ENCARREGADO(A) DO SAME;ENCARREGADO DO SAME;SEM EPI;SEM MAPEAMENTO NO PCG;0
ENFERMEIRO (A) SOCORRISTA USA;ENFERMEIRO SOCORRISTA USA;Máscara N95;PCG UNIVERSAL;1
ENFERMEIRO DE CENTRO CIRURGICO;ENFERMEIRO DE CENTRO CIRÚRGICO;Máscara N95;PCG UNIVERSAL;1
ENFERMEIRO DE TERAPIA INTENSIVA;ENFERMEIRO DE TERAPIA INTENSIVA;Máscara N95;PCG UNIVERSAL;1
ENFERMEIRO DE TERAPIA INTENSIVA;ENFERMEIRO DE TERAPIA INTENSIVA;Luva Nitrílica;HOSPITAL MACRORREGIONAL DE PRESIDENTE DUTRA;1
ENFERMEIRO DE TERAPIA INTENSIVA;ENFERMEIRO DE TERAPIA INTENSIVA;Máscara 6200;HOSPITAL MACRORREGIONAL DE PRESIDENTE DUTRA;1
ENFERMEIRO DE TERAPIA INTENSIVA;ENFERMEIRO DE TERAPIA INTENSIVA;Máscara N95;HOSPITAL MACRORREGIONAL DE PRESIDENTE DUTRA;1
ENFERMEIRO DE TERAPIA INTENSIVA ADULTO;ENFERMEIRO DE TERAPIA INTENSIVA ADULTO;Máscara N95;PCG UNIVERSAL;1
ENFERMEIRO NEFROLOGISTA;ENFERMEIRO NEFROLOGISTA;SEM EPI;SEM MAPEAMENTO NO PCG;0
ENFERMEIRO NEONATOLOGISTA;ENFERMEIRO NEONATOLOGISTA;SEM EPI;SEM MAPEAMENTO NO PCG;0
ENFERMEIRO OBSTETRICO;ENFERMEIRO OBSTÉTRICO;Máscara N95;PCG UNIVERSAL;1
ENFERMEIRO REGULADOR (A);ENFERMEIRO REGULADOR;Máscara N95;PCG UNIVERSAL;1
ENFERMEIRO SUPERVISOR (a);ENFERMEIRO SUPERVISOR;Máscara N95;PCG UNIVERSAL;1
ENFERMEIRO(A);ENFERMEIRO;Máscara N95;PCG UNIVERSAL;1
ENFERMEIRO(A);ENFERMEIRO;Luva Nitrílica;HOSPITAL MACRORREGIONAL DE CAXIAS;1
ENFERMEIRO(A);ENFERMEIRO;Máscara 6200;HOSPITAL MACRORREGIONAL DE CAXIAS;1
ENFERMEIRO(A);ENFERMEIRO;Máscara N95;HOSPITAL MACRORREGIONAL DE CAXIAS;1
ENFERMEIRO(A) DE ESTOMOTERAPIA;ENFERMEIRO DE ESTOMOTERAPIA;Máscara N95;PCG UNIVERSAL;1
ENFERMEIRO(A) DO TRABALHO;ENFERMEIRO DO TRABALHO;Máscara N95;PCG UNIVERSAL;1
ENFERMEIRO(A) URGENCIA E EMERGENCIA;ENFERMEIRO URGÊNCIA E EMERGÊNCIA;Máscara N95;PCG UNIVERSAL;1
ENFERMEIRO(A) UTI ADULTO;ENFERMEIRO UTI ADULTO;Máscara N95;PCG UNIVERSAL;1
ENFERMEIRO(A) UTI NEO;ENFERMEIRO UTI NEO;Máscara N95;PCG UNIVERSAL;1
ENFERMEIRO(A) UTI PEDIATRICA;ENFERMEIRO UTI PEDIÁTRICA;Máscara N95;PCG UNIVERSAL;1
ENGENHEIRO CIVIL;ENGENHEIRO CIVIL;SEM EPI;SEM MAPEAMENTO NO PCG;0
ENGENHEIRO DE PLANEJAMENTO;ENGENHEIRO DE PLANEJAMENTO;SEM EPI;SEM MAPEAMENTO NO PCG;0
ENGENHEIRO DE SEGURANCA DO TRABALHO;ENGENHEIRO DE SEGURANÇA DO TRABALHO;Máscara N95;PCG UNIVERSAL;1
ENGENHEIRO MECANICO;ENGENHEIRO MECÂNICO;SEM EPI;SEM MAPEAMENTO NO PCG;0
ENGENHEIRO(A) CLINICO;ENGENHEIRO CLÍNICO;SEM EPI;SEM MAPEAMENTO NO PCG;0
ENGENHEIRO(A) DE MEIO AMBIENTE;ENGENHEIRO DE MEIO AMBIENTE;SEM EPI;SEM MAPEAMENTO NO PCG;0
ENGENHEIRO(A) DE PRODUCAO;ENGENHEIRO DE PRODUÇÃO;SEM EPI;SEM MAPEAMENTO NO PCG;0
ENGENHEIRO(A) ELETRICISTA;ENGENHEIRO ELETRICISTA;Máscara N95;PCG UNIVERSAL;1
ESPECIALISTA DA HOTELARIA;ESPECIALISTA DA HOTELARIA;SEM EPI;SEM MAPEAMENTO NO PCG;0
ESPECIALISTA DA QUALIDADE;ESPECIALISTA DA QUALIDADE;SEM EPI;SEM MAPEAMENTO NO PCG;1
ESPECIALISTA DE ATENDIMENTO;ESPECIALISTA DE ATENDIMENTO;SEM EPI;SEM MAPEAMENTO NO PCG;2
ESPECIALISTA DE DADOS CLINICOS E ASSISTENCIAIS;ESPECIALISTA DE DADOS CLÍNICOS E ASSISTENCIAIS;SEM EPI;SEM MAPEAMENTO NO PCG;3
ESPECIALISTA DE ENFERMAGEM;ESPECIALISTA DE ENFERMAGEM;SEM EPI;SEM MAPEAMENTO NO PCG;4
ESPECIALISTA DE ENSINO;ESPECIALISTA DE ENSINO;SEM EPI;SEM MAPEAMENTO NO PCG;5
ESPECIALISTA DE SERVICOS EM SAUDE;ESPECIALISTA DE SERVIÇOS EM SAÚDE;SEM EPI;SEM MAPEAMENTO NO PCG;6
ESPECIALISTA EM DOCUMENTACAO SOFTWARE;ESPECIALISTA EM DOCUMENTAÇÃO DE SOFTWARE;SEM EPI;SEM MAPEAMENTO NO PCG;7
ESPECIALISTA EM GESTAO DE PROCESSSOS;ESPECIALISTA EM GESTÃO DE PROCESSOS;SEM EPI;SEM MAPEAMENTO NO PCG;8
ESPECIALISTA EM PLANEJ E QUALIDADE DE ENGENHARIA;ESPECIALISTA EM PLANEJAMENTO E QUALIDADE DE ENGENHARIA;SEM EPI;SEM MAPEAMENTO NO PCG;9
ESPECIALISTA EM SISTEMA DE INFORMACAO;ESPECIALISTA EM SISTEMAS DE INFORMAÇÃO;SEM EPI;SEM MAPEAMENTO NO PCG;10
EXECUTIVO (A) FINANCEIRO;EXECUTIVO FINANCEIRO;SEM EPI;SEM MAPEAMENTO NO PCG;0
FARMACEUTICO;FARMACÊUTICO;Luva de Látex;HEMONÚCLEO - PINHEIROS;1
FARMACEUTICO;FARMACÊUTICO;Máscara N95;HEMONÚCLEO - PINHEIROS;1
FARMACEUTICO;FARMACÊUTICO;Luva de Látex;HEMONÚCLEO - SANTA INÊS;1
FARMACEUTICO;FARMACÊUTICO;Máscara N95;HEMONÚCLEO - SANTA INÊS;1
FARMACEUTICO;FARMACÊUTICO;Luva de Látex;HEMONÚCLEO BACABAL;1
FARMACEUTICO;FARMACÊUTICO;Máscara N95;HEMONÚCLEO BACABAL;1
FARMACEUTICO;FARMACÊUTICO;Luva de Látex;LACEN;1
FARMACEUTICO;FARMACÊUTICO;Máscara N95;LACEN;1
FARMACEUTICO;FARMACÊUTICO;Máscara N95;PCG UNIVERSAL;1
FARMACEUTICO INDUSTRIAL;FARMACÊUTICO INDUSTRIAL;Máscara N95;PCG UNIVERSAL;1
FARMACEUTICO/BIOQUIMICO;FARMACÊUTICO/BIOQUÍMICO;Máscara N95;PCG UNIVERSAL;1
FARMACEUTICO/BIOQUIMICO;FARMACÊUTICO/BIOQUÍMICO;Luva de Látex;HEMONÚCLEO - BALSAS;1
FARMACEUTICO/BIOQUIMICO;FARMACÊUTICO/BIOQUÍMICO;Máscara N95;HEMONÚCLEO - BALSAS;1
FARMACEUTICO/BIOQUIMICO;FARMACÊUTICO/BIOQUÍMICO;Luva de Látex;HEMONÚCLEO - CODÓ;1
FARMACEUTICO/BIOQUIMICO;FARMACÊUTICO/BIOQUÍMICO;Máscara N95;HEMONÚCLEO - CODÓ;1
FARMACEUTICO/BIOQUIMICO;FARMACÊUTICO/BIOQUÍMICO;Luva de Látex;LACEN;1
FARMACEUTICO/BIOQUIMICO;FARMACÊUTICO/BIOQUÍMICO;Máscara N95;LACEN;1
FATURISTA;FATURISTA;Máscara N95;PCG UNIVERSAL;1
FISIOTERAPEUTA;FISIOTERAPEUTA;Máscara N95;PCG UNIVERSAL;1
FISIOTERAPEUTA UTI;FISIOTERAPEUTA UTI;Máscara N95;PCG UNIVERSAL;1
FISIOTERAPEUTA UTI PEDIATRICA;FISIOTERAPEUTA UTI PEDIÁTRICA;Máscara N95;PCG UNIVERSAL;1
FISIOTERAPEUTA UTI PEDIATRICO E NEONATAL;FISIOTERAPEUTA UTI PEDIÁTRICO E NEONATAL;Máscara N95;PCG UNIVERSAL;1
FISIOTERAPEUTA UTI-ADULTO;FISIOTERAPEUTA UTI-ADULTO;Máscara N95;PCG UNIVERSAL;1
FISIOTERAPEUTA UTI-NEO;FISIOTERAPEUTA UTI-NEO;Máscara N95;PCG UNIVERSAL;1
FONOAUDIOLOGO;FONOAUDIOLOGISTA;Máscara N95;PCG UNIVERSAL;1
GERENTE ADMINISTRATIVO;GERENTE ADMINISTRATIVO;Máscara N95;PCG UNIVERSAL;1
GERENTE ASSISTENCIAL DA REGULACAO DE LEITOS;GERENTE ASSISTENCIAL DA REGULAÇÃO DE LEITOS;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE DA CAF;GERENTE DA CAF;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE DA QUALIDADE;GERENTE DA QUALIDADE;Máscara N95;PCG UNIVERSAL;1
GERENTE DA SAUDE OCUPACIONAL;GERENTE DA SAÚDE OCUPACIONAL;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE DE AUDITORIA INTERNA;GERENTE DE AUDITORIA INTERNA;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE DE COMPRAS E CONTRATOS;GERENTE DE COMPRAS E CONTRATOS;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE DE CONTABILIDADE;GERENTE DE CONTABILIDADE;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE DE CONTROLE INTERNO FINANCEIRO;GERENTE DE CONTROLE INTERNO FINANCEIRO;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE DE DESENVOLVIMENTO DE PARCEIROS;GERENTE DE DESENVOLVIMENTO DE PARCEIROS;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE DE EDUCACAO RESIDENCIA E PESQUISA;GERENTE DE EDUCAÇÃO, RESIDÊNCIA E PESQUISA;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE DE ENFERMAGEM;GERENTE DE ENFERMAGEM;Máscara N95;PCG UNIVERSAL;1
GERENTE DE ENGENHARIA;GERENTE DE ENGENHARIA;Máscara N95;PCG UNIVERSAL;1
GERENTE DE ENGENHARIA CLINICA;GERENTE DE ENGENHARIA CLÍNICA;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE DE ESCRITORIO DE PROJETOS;GERENTE DE ESCRITÓRIO DE PROJETOS;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE DE ESTRAT. E INDIC. EM GESTAO DE PESSOAS;GERENTE DE ESTRAT. E INDIC. EM GESTÃO DE PESSOAS;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE DE GESTAO DA QUALIDADE;GERENTE DE GESTÃO DA QUALIDADE;Máscara N95;PCG UNIVERSAL;1
GERENTE DE GESTÃO DE PESSOAS;GERENTE DE GESTÃO DE PESSOAS;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE DE GESTAO INTEGRADA;GERENTE DE GESTÃO INTEGRADA;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE DE INFRAESTRUTURA;GERENTE DE INFRAESTRUTURA;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE DE LOGISTICA;GERENTE DE LOGÍSTICA;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE DE MEIO AMBIENTE;GERENTE DE MEIO AMBIENTE;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE DE OFICINA;GERENTE DE OFICINA;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE DE OUVIDORIA;GERENTE DE OUVIDORIA;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE DE PLANEJAMENTO;GERENTE DE PLANEJAMENTO;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE DE PLANEJAMENTO DE VIGILANCIA E SAUDE;GERENTE DE PLANEJAMENTO DE VIGILÂNCIA E SAÚDE;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE DE POLÍTICA DE EDUCAÇÃO E CONTROLE;GERENTE DE POLÍTICA DE EDUCAÇÃO E CONTROLE;Máscara N95;PCG UNIVERSAL;1
GERENTE DE PROCESSOS CLINICOS;GERENTE DE PROCESSOS CLÍNICOS;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE DE PROJETOS E CONTROLE;GERENTE DE PROJETOS E CONTROLE;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE DE RECURSOS HUMANOS;GERENTE DE RECURSOS HUMANOS;Máscara N95;PCG UNIVERSAL;1
GERENTE DE REGULACAO AMBULATORIAL;GERENTE DE REGULAÇÃO AMBULATORIAL;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE DE RELACOES TRABALHISTAS;GERENTE DE RELAÇÕES TRABALHISTAS;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE DE SEGURANÇA DO TRABALHO;GERENTE DE SEGURANÇA DO TRABALHO;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE DE SERVICO DE ASSISTENCIA FARMACEUTICA;GERENTE DE SERVIÇO DE ASSISTÊNCIA FARMACÊUTICA;Máscara N95;PCG UNIVERSAL;1
GERENTE DE SERVICOS DE LABORATORIO;GERENTE DE SERVIÇOS DE LABORATÓRIO;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE DE SERVIÇOS E SAUDE;GERENTE DE SERVIÇOS EM SAÚDE;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE DE TECNOLOGIA DA INFORMAÇAO E COMUNICAÇAO;GERENTE DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE DE TRANSPORTE SANITARIO TERRESTRE;GERENTE DE TRANSPORTE SANITÁRIO TERRESTRE;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE DE TREINAMENTO E DESENVOLVIMENTO;GERENTE DE TREINAMENTO E DESENVOLVIMENTO;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE DO NIR;GERENTE DO NIR;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE DO NUCLEO DE CONTROLE INTERNO DA GESTAO;GERENTE DO NÚCLEO DE CONTROLE INTERNO DA GESTÃO;SEM EPI;SEM MAPEAMENTO NO PCG;0
